subj,pm_cost,blockType
s01,0.19151555544672427,Maintain
s02,0.07106185763973405,Maintain
s03,0.17218481873312774,Maintain
s04,0.09698039171229456,Maintain
s05,0.1872409674202984,Maintain
s06,0.04690767500695103,Maintain
s07,0.09360969055665902,Maintain
s08,0.10129145762175917,Maintain
s09,0.1738517093129971,Maintain
s10,0.07442978326728689,Maintain
s11,0.15865299371720654,Maintain
s12,0.13434485159321796,Maintain
s13,0.11031702966520784,Maintain
s14,-0.03118948324565829,Maintain
s15,0.14121390491733687,Maintain
s16,0.08889867496151305,Maintain
s17,0.12308600741612585,Maintain
s18,0.10665447358960845,Maintain
s19,0.10187374561851403,Maintain
s20,0.035873718257723786,Maintain
s21,,Maintain
