subj,pm_cost,blockType
s01,0.32943194812584753,MnM
s02,0.43808226058196365,MnM
s03,0.31288709598535913,MnM
s04,0.2546086657908049,MnM
s05,0.3294470151188684,MnM
s06,0.10334937194812799,MnM
s07,0.24870434637925098,MnM
s08,0.1737951158436586,MnM
s09,0.30660942574126393,MnM
s10,0.1668625371903264,MnM
s11,0.27666952805713796,MnM
s12,0.05286337469135938,MnM
s13,0.3358780218406445,MnM
s14,0.29387767249860786,MnM
s15,0.443517922390666,MnM
s16,0.5385542318109154,MnM
s17,0.37018718994736033,MnM
s18,,MnM
s19,0.2116355499969751,MnM
s20,0.29870317577532723,MnM
s21,0.3161259253937714,MnM
