subj,pm_cost,blockType
s01,0.16241499050967467,Monitor
s02,0.22343666012039476,Monitor
s03,0.16157243578415903,Monitor
s04,0.1186581737980742,Monitor
s05,0.24306576803299873,Monitor
s06,-0.0605773169738939,Monitor
s07,0.1253372050525997,Monitor
s08,0.0332982545126127,Monitor
s09,0.14285251791420528,Monitor
s10,0.10503833066895307,Monitor
s11,0.14422201859734707,Monitor
s12,0.1974959614804549,Monitor
s13,0.2007669956733209,Monitor
s14,0.16114642078586983,Monitor
s15,0.16631269970301898,Monitor
s16,0.1770452740458569,Monitor
s17,0.10691088547626415,Monitor
s18,,Monitor
s19,0.13156968136782354,Monitor
s20,0.14716854304657834,Monitor
s21,0.16684330888649335,Monitor
