subj,blockType,pm_cost
s01,Maintain,0.1872409674202984
s01,MnM,0.32943194812584753
s01,Monitor,0.16241499050967467
s02,Maintain,0.07297253895693401
s02,MnM,0.43808226058196365
s02,Monitor,0.22343666012039476
s03,Maintain,0.17188924619375778
s03,MnM,0.31288709598535913
s03,Monitor,0.16157243578415903
s04,Maintain,0.10171893053241898
s04,MnM,0.2546086657908049
s04,Monitor,0.1186581737980742
s05,Maintain,0.16140621299787816
s05,MnM,0.3294470151188684
s05,Monitor,0.24306576803299873
s06,Maintain,-0.03216296563587184
s06,MnM,0.10334937194812799
s06,Monitor,-0.0605773169738939
s07,Maintain,0.11024049497562172
s07,MnM,0.24870434637925098
s07,Monitor,0.1253372050525997
s08,Maintain,0.09068666974033579
s08,MnM,0.1737951158436586
s08,Monitor,0.0332982545126127
s09,Maintain,0.10325015279721472
s09,MnM,0.30660942574126393
s09,Monitor,0.14285251791420528
s10,Maintain,0.174293587060238
s10,MnM,0.1668625371903264
s10,Monitor,0.10503833066895307
s11,Maintain,0.07442978326728689
s11,MnM,0.27666952805713796
s11,Monitor,0.14422201859734707
s12,Maintain,0.14534414306123777
s12,MnM,0.05286337469135938
s12,Monitor,0.1974959614804549
s13,Maintain,0.13480468220288733
s13,MnM,0.3358780218406445
s13,Monitor,0.2007669956733209
s14,Maintain,0.09360969055665902
s14,MnM,0.29387767249860786
s14,Monitor,0.16114642078586983
s15,Maintain,0.04827203336595909
s15,MnM,0.443517922390666
s15,Monitor,0.16631269970301898
s16,Maintain,0.19151555544672427
s16,MnM,0.5385542318109154
s16,Monitor,0.1770452740458569
s17,Maintain,0.09726811325818119
s17,MnM,0.37018718994736033
s17,Monitor,0.10691088547626415
s18,Maintain,
s18,MnM,
s18,Monitor,
s19,Maintain,0.03688723688567985
s19,MnM,0.2116355499969751
s19,Monitor,0.13156968136782354
s20,Maintain,0.12350393123616432
s20,MnM,0.29870317577532723
s20,Monitor,0.14716854304657834
s21,Maintain,0.11253848047298298
s21,MnM,0.3161259253937714
s21,Monitor,0.16684330888649335
