"","cost_mnm_interact","cost_mnm_noInteract","main_mnm","mon_mnm","one_mnm"
"1",-21.6873632737131,-22.1025117028744,-23.2481062200374,-7.36429942809632,-9.26826647324237
"2",-27.7152497010708,-24.228544513381,-26.0101772622589,-21.9975416836513,-23.909729649719
"3",-9.22599912313269,-7.63255339557979,-9.59863687636188,-9.60014086389207,-11.4900606824481
"4",-13.8708540530512,-15.0195654334606,-16.1313795667386,-14.1277790410458,-15.8661030752967
"5",-21.2463765569549,-22.104815003825,-23.935333959181,-20.9296995174225,-22.8376935339607
"6",-1.59259053024903,-3.40094655894349,-0.71314067710802,-3.68893752845335,-2.59419643996055
"7",-16.0241617216126,-16.9094933028483,-15.349827838359,-16.6527727102581,-17.1951597823115
"8",-24.322438479799,-20.9022765244747,-19.4893561177662,-20.6691789890539,-21.352847487231
"9",-21.4486771423472,-19.6434661829069,-19.6748411697104,-6.31094281154179,-8.2609426053033
"10",-13.9024223259453,-11.7012022890987,-8.61207251963907,-5.08707796163203,-6.87865734516243
"11",-35.7609172199764,-37.6850428774883,-31.9895016015931,-38.8839656776665,-31.2709004026584
"12",-16.7951409539152,-18.3784127986684,-20.0634972593722,-20.0266189013312,-21.941721308632
"13",-38.0908255100433,-38.1204126529495,-33.60895444762,-38.9521550999967,-34.857393680021
"14",-17.5423514378443,-19.542256736884,-20.8185732725663,-18.3285078428425,-17.8517934690027
"15",-36.9144719327435,-38.5386942592848,-32.2652291174141,-22.5091822433299,-21.5252265114976
"16",-6.87899729185711,-8.80853798671579,-5.02481405178909,-10.3071350865158,-6.8230217973975
"17",-23.3955879902573,-25.346301794465,-23.175359097241,-21.3122672959696,-21.4554128535357
"18",-7.69880417253052,-8.82576337442053,-0.822459830381694,-9.97807252065758,-2.82233595821038
"19",-1.42165048333151,-1.20374574266145,-1.83147015519017,-2.64203262152812,-3.82524798638117
"20",-12.8784908275532,-12.7574250922003,-11.7062555536381,-14.7137212169451,-13.4500198341488
"21",-15.6207030369623,-14.2898188894926,-5.62177159262712,-14.0099086091077,-7.12790651408563
"22",5.2791147476132,3.2832840922748,5.63629484205945,4.77955673398124,4.70017459788017
"23",2.13751094991954,0.91803581881689,0.0715908322797683,-0.987301369616384,-1.7522006715061
"24",-18.120181270686,-19.9382720419055,-12.6068946374199,-18.9974628230901,-14.2369581924246
"25",-10.084717987615,-11.7217194025082,-12.3196473416929,-13.3373090645818,-11.3527731867935
"26",-22.175338877392,-23.4249770416822,-15.6004548549269,-16.7606236711498,-16.4570091791872
"27",-21.3667448344622,-22.6869956759839,-15.5496103064409,-14.2396142881725,-14.187430982085
"28",-9.22192260396027,-11.0093971185387,-9.7145957043105,-11.2818221276143,-11.5820955611326
"29",-17.5304889939438,-19.359560907255,-17.2364133790988,-20.7272680051778,-18.7742291904533
"30",-8.14242290776019,-10.0879352162292,-4.84079310863902,-10.2006533355093,-6.78100595927152
"31",-6.50214493761579,-7.02619297055437,-7.31995479577732,-6.14799602813331,-7.54188848084665
"32",-17.9453276605379,-19.9438336041968,-20.7417101948449,-19.2160958614335,-15.6956983198955
"33",-8.76753212525081,-10.7339600698216,-0.264913780276176,-9.37710613582982,-2.23494560802669
"34",-20.9034062516467,-22.8599835288323,-19.2457637233254,-21.8818795538859,-20.7761232927002
"35",-19.8997873184707,-19.3703361078755,-19.6895857056126,-14.3542066129229,-16.3482364892411
"36",-9.21168839390239,-9.02676924272326,-11.0116533646622,-9.61016201163812,-11.3747386227018
"37",-6.57684685973061,-6.15407611062982,-6.93767293842994,-7.95006627946117,-8.79671315441919
"38",-20.1157157301987,-19.3091965598276,-10.3397604301168,-11.4113318294978,-11.4202217468427
"39",-2.93573320494584,-4.56137079148622,-4.58386514539802,-4.66824517812471,-5.80119960286051
"40",-35.8613536706616,-37.5211311331427,-34.7157876944473,-37.295049451994,-36.4866200782301
"41",-7.24142877968655,-9.18961250434896,-6.71417449690163,-9.75721081654267,-8.69013284727365
"42",-13.9492576258852,-12.8643211593695,-14.6663834702396,-13.5189386618744,-15.1579390783356
"43",-15.3928951099118,-16.532629414729,-15.2142914665634,-17.9868046160291,-16.5626317570015
"44",-18.6892206680643,-20.3219790465165,-11.0806000661635,-14.1153096609788,-12.778132810632
"45",-21.9100162111459,-23.7661214845471,-23.4737584221329,-24.8539065977082,-25.4716835392655
"46",0.460890907018916,-1.36822539655446,1.74560192514882,-0.368931890430481,0.551465188540164
"47",-4.33686862094226,-5.01755739785819,-3.20515176142512,-6.41196923627763,-4.79970786614541
"48",-8.81280499753673,-3.5350167566692,-4.55864859734915,-5.42706912869188,-6.47397434809898
"49",1.9856008410841,2.12944312280294,0.138508640877665,0.329867134932668,-1.57702633189895
"50",-18.1272657318597,-18.005836739232,-18.6817344041949,-19.0092647692423,-20.5291174247751
"51",-13.8837857256422,-14.2884136552027,-13.0104017316219,-15.409781420631,-14.8970475539428
"52",-9.09880510473663,-10.4543351451498,-9.87211563434003,-10.8007338766581,-11.2401014756084
"53",-7.90241943007636,-9.11193939350589,-2.48292048593323,-6.50748428728479,-4.4187758734841
"54",-10.7129945471108,-12.5425482629881,-9.28219733710924,-14.3381703166706,-11.0630246632242
"55",-33.6473313516466,-31.4374105764176,-33.2071986175355,-33.4089718128274,-35.2041045298217
"56",-6.0190540458619,-1.93577199903273,-3.93230720003156,-3.05307731622717,-4.6740525769509
"57",-5.97413179358368,-4.54507405915124,-4.51327989521126,-3.46600258868518,-5.42727279779569
"58",-16.2417463316165,-6.88047954401224,-1.64513920007782,-5.91411327582238,-3.38769987753644
"59",-24.7217148685418,-26.5848227213314,-23.3952663525358,-27.5252936298048,-25.2022365015675
"60",-8.24388282180254,-8.57575514279453,-9.86578737823691,-8.6307542084086,-10.4540249887464
"61",-12.4700603471689,-11.7016312723644,-12.9847664114851,-12.8334273460996,-12.9746062554228
"62",-16.1910625060445,-15.8540363863964,-13.1230516789677,-16.1278458784394,-14.4609824337063
"63",-5.6578672984419,-5.74114515858517,-4.30044331489141,-3.54458629937208,-4.60655120932474
"64",-17.6744231066823,-17.7014522734522,-8.07720255599835,-13.7242325945431,-8.3424815157332
"65",-16.8985346410943,-16.7608384219617,-18.2780864378718,-18.7516435442096,-20.065739878585
"66",-20.5774520209377,-18.8238164462844,-15.8991753481645,-13.687200599203,-14.8005662495524
"67",-3.35133766087772,-4.58425894814072,1.16550349340569,-3.45065586004005,-0.538504021361423
"68",-0.981887930797448,-2.10489176411495,-2.23521606527814,-1.41464294967634,-2.9467520556062
"69",-9.70197503576088,-9.30711099610658,-11.2176683097743,-11.3070880767654,-13.117442920307
"70",-16.9084578750978,-18.1018280103452,-15.757898940127,-20.0152779555831,-15.8289248273811
"71",-9.17228825928545,-11.148722686025,-10.3031152976835,-12.8320916421688,-12.2585024571753
"72",-18.585978149856,-20.1737692056833,-22.1299877734931,-21.8459892531431,-23.2182207204011
"73",-10.7769167306094,-11.4997061732146,-9.78283822713494,-11.8312685101425,-11.4498128578401
"74",-14.1218732206201,-15.0774197021479,-16.1126217003945,-16.882471032175,-18.1125978394026
"75",-21.4566873685418,-22.1282849252158,-22.0152927144037,-23.6244110913648,-23.1151903631524
"76",-4.2608685683346,-5.07001587273693,-5.93480678775221,0.254701765509622,-1.73363142367421
"77",-12.3368274666001,-14.069380834541,-15.845189172833,-14.9272883246334,-16.0024297567987
"78",-24.9773366101593,-26.9447443081827,-19.0530339377285,-25.4762840908595,-21.0476411323856
"79",-8.34114336306685,-9.66900702400037,-4.40027094954717,-1.51570844210587,-1.60686665112473
"80",-19.7185205811922,-14.5691495505612,-14.8462360376217,-14.922600969972,-16.5910158772939
"81",-16.7062705896461,-17.3042751951127,-12.7781043271497,-9.81883660089698,-8.99497755649691
"82",-8.42965388558135,-8.91573665113323,-8.8435590100851,-8.25781586293364,-9.59703994526935
"83",-5.52253822556567,-3.99052995348472,-4.47579616795443,-5.99044475636822,-5.99476503918787
"84",-11.6992875275315,-13.213948796502,-6.71089919614534,-7.65347993234221,-7.11971033894003
"85",-13.1895540889862,-13.7377292390266,-12.4874094015244,-12.5771973186664,-13.3314432901581
"86",-14.491981407006,-14.3323052908787,-10.4646827716874,-10.0977892293278,-10.6619776127943
"87",-14.0221546719115,-15.7708878833236,-17.2202384693907,-13.4653446594446,-15.3461465056931
"88",-26.4343363843764,-26.2983125377781,-25.0362841220062,-28.1900932292645,-26.5807080733094
"89",-26.8504972769147,-28.8225555954794,-21.6684381167916,-23.9709041807312,-20.8171180526002
"90",-8.27636873347407,-9.78982057944783,-8.21400838119328,-7.87993139172078,-8.6064839429706
"91",-2.5997262356972,-2.22208178433821,-2.68629604274161,-3.84832430286287,-4.68627899332037
"92",-28.1762986753589,-28.2256628458508,-19.5830837966043,-26.9795610054809,-20.6448348939006
"93",-15.0018983275006,-16.995256861702,-8.3196587026681,-13.2557144525098,-9.81818238551417
"94",-17.9738069604334,-18.6796241583067,-17.6842642553566,-19.8195142080655,-19.6140242136593
"95",-17.4375105464981,-19.2984854188161,-20.5107881844724,-16.1927955920364,-18.0697584180167
"96",-28.2300517736298,-29.7896660611375,-28.687786635485,-22.9461769293835,-24.5890424944499
"97",-10.3869611360151,-12.3569756087964,-10.2948176139137,-14.2820815221043,-11.235570838552
"98",-7.98049782794934,-7.09149468956022,-7.35776019535491,-8.42629772452779,-9.28626266360618
"99",-18.7141897710015,-20.7101331120992,-22.147365315539,-21.7268437395409,-22.6068758890674
"100",-10.858764650251,-11.354012778292,-11.2694630530556,-13.1359042132187,-13.1941960378383
"101",-12.0295889824258,-13.7233109942157,-8.05745452258636,-11.4694710269465,-9.913846296257
"102",-17.1144305282859,-15.5410208441225,-11.0079582660414,-9.74877501998918,-9.4023477517514
"103",-11.7000877281971,-13.5207107985901,-13.6562336387778,-14.7449569341591,-15.6435376037044
"104",-15.9109832653749,-17.3227237145579,-17.0996343824674,-19.162609687272,-16.46215519208
"105",-17.3793473695417,-16.6894785085388,-15.215983517948,-18.6613140619078,-16.1792274434749
"106",-1.67455310480812,-0.604180181120636,-2.40298063665059,-2.3736496849998,-4.34913977500082
"107",-26.6616765249391,-27.2890173897535,-19.0116096684368,-20.4358148674636,-18.5488867697397
"108",-41.9728574249283,-43.8539758477745,-44.0518475112415,-45.5011203023301,-46.035484872357
"109",-14.9437324555068,-8.62400569033313,-10.622098264708,-9.49674168259113,-11.3346037901115
"110",-18.4261459794533,-19.7110458746254,-12.8829135373384,-9.72535300706204,-8.74196732332038
"111",-26.9777185115873,-27.9142089302759,-14.7864953904009,-17.4769887636227,-15.3519897559346
"112",-8.24692348908628,-9.64641269511995,-8.86447589578179,-9.46056928885153,-10.3474872237639
"113",-21.2504713611901,-23.1130444486186,-17.3442711088989,-17.1663803330222,-15.674657788186
"114",-20.8483239046654,-22.5215211014373,-20.6791803919852,-23.5614025572699,-19.0501221666097
"115",-14.2872183042885,-14.8239541875414,-15.2472525458352,-14.0172690168914,-15.8906253657373
"116",-16.8943215688825,-18.8792873116376,-12.8576118456167,-17.0009136500882,-14.2418329546371
"117",-18.1576234263724,-19.3080235379717,-20.4285488406399,-21.3074737279204,-21.9113411368167
"118",-12.1411769535871,-14.1338329642984,-10.8614538438477,-15.8214148327328,-12.1309679257018
"119",1.25831889646203,-0.499284979038906,-0.921388333434159,-1.23874502233869,-2.71669429027258
"120",-6.17614376225335,-7.19659497507256,-2.54504485136812,-2.8012303125647,-2.69890939892429
"121",-21.6239148973155,-23.107358909007,-15.4914887210951,-24.9519927972848,-17.1811910414924
"122",-0.974942803011567,-1.44170470866809,-2.58988601441476,-3.43033432122616,-4.28918145820736
"123",-19.8952422189888,-21.890278489067,-11.8955568054878,-20.1503774942346,-13.8834623999374
"124",4.38994506873894,2.78065344743646,7.61550536432437,4.58881394790027,5.89427948309544
"125",-14.6407671637465,-16.591968820786,-13.0477721827995,-13.7542888422142,-12.3740118694314
"126",-17.036030201288,-18.6783440985636,-13.4156029002908,-15.7351420276046,-14.4503645865001
"127",-12.1252354421306,-12.2810790114057,-6.65914576388305,0.670766712199569,-0.709871913720555
"128",-14.2523913196134,-15.9727371783464,-7.84762864310072,-13.4494032889619,-9.77079828458286
"129",-9.41960481932945,-5.61872163045514,-6.62034817801785,-6.0277015283983,-7.84871030210356
"130",-12.7108227694035,-11.3953540292935,-11.2949199502299,-7.92268291351697,-9.63913962144779
"131",-9.18898104176589,-11.1553530682387,-8.19643673692789,-12.5414926033995,-9.62389164238191
"132",-1.95890751425578,-3.24935015694809,-3.40514130487069,-5.22159244657358,-4.48468765674611
"133",-20.4568204171112,-21.1450342602454,-18.5333293300837,-19.9075114225001,-20.0039759666034
"134",-25.7075217024533,-25.9324328818595,-27.932425657935,-23.9295611064837,-23.9375105655193
"135",8.38046904793083,6.88519558919097,7.22933910045216,6.64102543216529,5.95290770442827
"136",-11.4714002886743,-11.7499971257697,-12.5295908822126,-12.7823615590804,-14.4177115235497
"137",-32.4902320638667,-33.4080940182856,-31.9162550447656,-33.8384436534156,-33.7912964906511
"138",-19.076828171633,-19.3905370286773,-14.9536836928044,-18.0255802508368,-16.9531273549892
"139",-12.8148047363016,-10.1721590568061,-6.74819711087486,-6.87676768085485,-4.94258430077497
"140",-9.97086162858929,-10.9400436602779,-10.2958889922884,-8.44253684770832,-10.222805399876
"141",-19.3185302907469,-16.6300694342604,-17.8514824756046,-15.292804704719,-17.2834474708664
"142",-11.6577423749217,-13.5113173377454,-8.80580076318333,-13.4678769940555,-10.761872203831
"143",-2.19474490818948,-1.76183989495188,-0.210551336145049,-1.88185368881133,-1.31299269815117
"144",-8.80982416877754,-6.89467207722825,-8.53088000298748,-8.88128592807522,-10.3955429125487
"145",-13.1727190056424,-15.12544310529,-15.7722841929503,-17.1206237076882,-15.885550584916
"146",-8.51344197590559,-5.2979902654574,-7.15386369609463,-7.2964927755294,-9.08300572859497
"147",-12.5599706071186,-14.2400796801245,-13.9614754348375,-15.7458439807873,-15.9422546573672
"148",-8.1041014951075,-10.0699214160591,-9.10703164385355,-11.6124347551154,-8.90143134806864
"149",-7.86790311142738,-7.44574956799301,-7.18491207772731,-5.92828113866245,-7.21132743310994
"150",-1.52419478369009,-3.43562233418107,-3.68732046563926,-5.38292161843281,-5.22331829558184
"151",-25.1850532009309,-26.7851040064126,-25.0280797600829,-27.3797828650745,-27.0199822225179
"152",-15.6626646713053,-17.6438706375449,-15.6944246354721,-16.6116658003242,-16.9349022395915
"153",-9.16810770228928,-8.59966982725776,-6.34101811951751,-2.20099749631702,-3.87569633702527
