subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('base1', 1)",1.0,0.7148690223693848,1.0,Baseline
s01,"('base1', 1)",1.0,0.6548490524291992,1.0,Baseline
s01,"('base1', 1)",1.0,0.5306081771850586,1.0,Baseline
s01,"('base1', 1)",1.0,0.5415060520172119,1.0,Baseline
s01,"('base1', 1)",1.0,0.7761921882629395,1.0,Baseline
s01,"('base1', 1)",1.0,0.5234889984130859,1.0,Baseline
s01,"('base1', 1)",1.0,0.4932379722595215,1.0,Baseline
s01,"('base1', 1)",1.0,0.5512869358062744,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.6199309825897217,1.0,Baseline
s01,"('base1', 1)",1.0,0.5563120841979979,1.0,Baseline
s01,"('base1', 1)",1.0,0.7676260471343994,1.0,Baseline
s01,"('base1', 1)",1.0,0.7544040679931641,1.0,Baseline
s01,"('base1', 1)",1.0,0.8275060653686523,1.0,Baseline
s01,"('base1', 1)",1.0,0.7660691738128662,1.0,Baseline
s01,"('base1', 1)",1.0,0.5603067874908447,1.0,Baseline
s01,"('base1', 1)",1.0,0.5124571323394775,1.0,Baseline
s01,"('base1', 1)",1.0,0.9468619823455809,1.0,Baseline
s01,"('base1', 1)",1.0,0.5012719631195068,1.0,Baseline
s01,"('base1', 1)",1.0,0.6083540916442871,1.0,Baseline
s01,"('base1', 1)",1.0,0.8589801788330078,1.0,Baseline
s01,"('base1', 1)",1.0,1.3487961292266846,1.0,Baseline
s01,"('base1', 1)",1.0,1.3608248233795166,1.0,Baseline
s01,"('base1', 1)",1.0,1.0365149974822998,1.0,Baseline
s01,"('base1', 1)",1.0,0.8196330070495605,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.4484148025512695,1.0,Baseline
s01,"('base1', 1)",1.0,0.8580288887023926,1.0,Baseline
s01,"('base1', 1)",1.0,1.0195159912109375,1.0,Baseline
s01,"('base1', 1)",1.0,0.5418369770050049,1.0,Baseline
s01,"('base1', 1)",1.0,0.7372410297393799,1.0,Baseline
s01,"('base1', 1)",1.0,0.7012310028076172,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,1.2305090427398682,1.0,Baseline
s01,"('base1', 1)",1.0,0.6745970249176025,1.0,Baseline
s01,"('base1', 1)",1.0,0.605158805847168,1.0,Baseline
s01,"('base1', 1)",1.0,0.6649219989776611,1.0,Baseline
s01,"('base1', 1)",1.0,0.7328698635101318,1.0,Baseline
s01,"('base1', 1)",1.0,0.7210650444030762,1.0,Baseline
s01,"('base1', 1)",1.0,1.1410460472106934,1.0,Baseline
s01,"('base1', 1)",1.0,0.6653361320495605,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.7611880302429199,1.0,Baseline
s01,"('base1', 1)",1.0,1.261657953262329,1.0,Baseline
s01,"('base1', 1)",1.0,0.5699079036712646,1.0,Baseline
s01,"('base1', 1)",1.0,0.6300010681152344,1.0,Baseline
s01,"('base1', 1)",1.0,0.5059192180633545,1.0,Baseline
s01,"('base1', 1)",1.0,0.9734420776367188,1.0,Baseline
s01,"('base1', 1)",1.0,0.665273904800415,1.0,Baseline
s01,"('base1', 1)",1.0,0.5493519306182861,1.0,Baseline
s01,"('base1', 1)",1.0,0.8093929290771484,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.7536079883575441,1.0,Baseline
s01,"('base1', 1)",1.0,0.5892140865325928,1.0,Baseline
s01,"('base1', 1)",1.0,0.6092970371246338,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.6571829319000244,1.0,Baseline
s01,"('base1', 1)",1.0,0.6768388748168945,1.0,Baseline
s01,"('base1', 1)",1.0,0.6392772197723389,1.0,Baseline
s01,"('base1', 1)",1.0,0.5790688991546631,1.0,Baseline
s01,"('base1', 1)",1.0,0.6135108470916748,1.0,Baseline
s01,"('base1', 1)",1.0,0.665632963180542,1.0,Baseline
s01,"('base1', 1)",1.0,0.6295411586761475,1.0,Baseline
s01,"('base1', 1)",1.0,0.6574752330780029,1.0,Baseline
s01,"('base1', 1)",1.0,0.6190850734710693,1.0,Baseline
s01,"('base1', 1)",1.0,0.6032450199127197,1.0,Baseline
s01,"('base1', 1)",1.0,0.5672760009765625,1.0,Baseline
s01,"('base1', 1)",1.0,0.538175106048584,1.0,Baseline
s01,"('base1', 1)",1.0,0.6916530132293701,1.0,Baseline
s01,"('base1', 1)",1.0,0.5756161212921143,1.0,Baseline
s01,"('base1', 1)",1.0,0.7061421871185303,1.0,Baseline
s01,"('base1', 1)",1.0,0.5891389846801758,1.0,Baseline
s01,"('base1', 1)",1.0,0.5759830474853516,1.0,Baseline
s01,"('base1', 1)",1.0,0.8116099834442139,1.0,Baseline
s01,"('base1', 1)",1.0,0.6636240482330322,1.0,Baseline
s01,"('base1', 1)",1.0,0.5561618804931641,1.0,Baseline
s01,"('base1', 1)",1.0,0.5972809791564941,1.0,Baseline
s01,"('base1', 1)",1.0,0.5999050140380859,1.0,Baseline
s01,"('base1', 1)",1.0,0.5682220458984375,1.0,Baseline
s01,"('base1', 1)",1.0,0.6189641952514648,1.0,Baseline
s01,"('base1', 1)",1.0,0.5579869747161865,1.0,Baseline
s01,"('base1', 1)",1.0,0.5701818466186523,1.0,Baseline
s01,"('base1', 1)",1.0,0.45973801612854,1.0,Baseline
s01,"('base1', 1)",1.0,0.7146701812744141,1.0,Baseline
s01,"('base1', 1)",1.0,0.6539201736450195,1.0,Baseline
