subj,pm_cost,pm_acc
s01,0.14442311313783718,0.575
s02,0.030917786344559668,0.825
s03,0.10580941659228757,0.725
s04,0.03401301695655614,0.525
s05,0.09817104990136152,0.4
s06,-0.08313187244428367,0.325
s07,0.06362487462480934,0.275
s08,0.02880379759053516,0.45
s09,0.023061907293409626,0.325
s10,0.1027441474232432,0.475
s11,0.012832478038281765,0.725
s12,0.1453441430612375,0.0
s13,0.05666966708367641,0.525
s14,0.04049588206665914,0.675
s15,0.019930830042214086,0.675
s16,0.14253791912802516,0.675
s17,0.06051104021290463,0.45
s19,-0.024172410282507262,0.15
s20,0.0877621702039635,0.5
s21,0.009521835857880565,0.55
s22,0.07542160359349018,0.5128205128205128
s23,0.07529853992217887,0.35
s24,0.1539921566857653,0.5
s25,0.15034672414546507,0.225
s26,0.07961609431103697,0.45
s27,0.052724242103632114,0.55
s29,0.07685039470240239,0.4
s30,0.12959660311570229,0.825
s31,0.1428300955072277,0.6
s32,0.1182284592183836,0.55
s33,0.2394261465925645,0.125
s34,0.10004810549593343,0.775
s35,0.05259326777590957,0.5
s36,0.0711659043229563,0.425
s37,0.03986369283633909,0.4
s38,0.0403848645974144,0.45
s39,0.06917039403308294,0.075
s40,0.01229564955415486,0.675
s41,0.0689101392988655,0.15
s42,0.06832820043096398,0.55
s43,0.10277532515296267,0.725
