subj,pm_cost,blockType
s01,0.1872409674202984,Maintain
s02,0.07297253895693401,Maintain
s03,0.17188924619375778,Maintain
s04,0.10171893053241898,Maintain
s05,0.16140621299787816,Maintain
s06,-0.03216296563587184,Maintain
s07,0.11024049497562172,Maintain
s08,0.09068666974033579,Maintain
s09,0.10325015279721472,Maintain
s10,0.174293587060238,Maintain
s11,0.07442978326728689,Maintain
s12,0.14534414306123777,Maintain
s13,0.13480468220288733,Maintain
s14,0.09360969055665902,Maintain
s15,0.04827203336595909,Maintain
s16,0.19151555544672427,Maintain
s17,0.09726811325818119,Maintain
s18,,Maintain
s19,0.03688723688567985,Maintain
s20,0.12350393123616432,Maintain
s21,0.11253848047298298,Maintain
