subj,pm_cost,blockType
s01,0.19151555544672427,Maintain
s02,0.07106185763973405,Maintain
s03,0.17218481873312774,Maintain
s04,0.09698039171229456,Maintain
s05,0.1872409674202984,Maintain
s06,0.04690767500695103,Maintain
s07,0.09360969055665902,Maintain
s08,0.10129145762175917,Maintain
s09,0.1738517093129971,Maintain
s10,0.07442978326728689,Maintain
s11,0.15865299371720654,Maintain
s12,0.13434485159321796,Maintain
s13,0.11031702966520784,Maintain
s14,-0.03118948324565829,Maintain
s15,0.14121390491733687,Maintain
s16,0.08889867496151305,Maintain
s17,0.12308600741612585,Maintain
s18,0.10665447358960845,Maintain
s19,0.10187374561851403,Maintain
s20,0.035873718257723786,Maintain
s21,,Maintain
s01,0.1770452740458569,Monitor
s02,0.2215259788031948,Monitor
s03,0.161868008323529,Monitor
s04,0.10662316393037752,Monitor
s05,0.16241499050967467,Monitor
s06,0.16494834134401093,Monitor
s07,0.16114642078586983,Monitor
s08,0.11823070088741439,Monitor
s09,0.10459645292171216,Monitor
s10,0.14422201859734707,Monitor
s11,0.2403125487523271,Monitor
s12,0.20030716506365154,Monitor
s13,0.12541373974218584,Monitor
s14,-0.05960383458368035,Monitor
s15,0.193365723336554,Monitor
s16,0.03151025973378996,Monitor
s17,0.14675061922653987,Monitor
s18,0.1609593020031188,Monitor
s19,0.1414761107355046,Monitor
s20,0.13055616273986748,Monitor
s21,,Monitor
s01,0.5385542318109154,MnM
s02,0.4361715792647637,MnM
s03,0.3131826685247291,MnM
s04,0.3698994684014737,MnM
s05,0.32943194812584753,MnM
s06,0.44215356403165795,MnM
s07,0.29387767249860786,MnM
s08,0.25418119288014507,MnM
s09,0.16642065944308548,MnM
s10,0.27666952805713796,MnM
s11,0.3266937958381968,MnM
s12,0.33541819123097516,MnM
s13,0.2487808810688371,MnM
s14,0.10432285433834154,MnM
s15,0.04873313654745848,MnM
s16,0.17200712106483584,MnM
s17,0.29828525195528877,MnM
s18,0.31024191851039684,MnM
s19,0.30523301856256324,MnM
s20,0.21062203136901902,MnM
s21,,MnM
