,p-corr,condition,sig code
og_acc,5.257634349653556e-06,Baseline + Maintain,***
og_acc,1.0343446548966055e-13,Baseline + MnM,***
og_acc,5.25402796484592e-08,Baseline + Monitor,***
og_acc,2.2085196127377406e-09,Maintain + MnM,***
og_acc,0.04456238031162299,Maintain + Monitor,*
og_acc,3.6840494840088843e-11,MnM + Monitor,***
pm_acc,1.7744146688247445e-07,Baseline + Maintain,***
pm_acc,4.594863128083131e-16,Baseline + MnM,***
pm_acc,4.629658054174082e-07,Baseline + Monitor,***
pm_acc,1.572285644965005e-07,Maintain + MnM,***
pm_acc,1.0,Maintain + Monitor, 
pm_acc,1.5023465440510283e-12,MnM + Monitor,***
rt,2.0859442119873733e-09,Baseline + Maintain,***
rt,5.375807580758261e-18,Baseline + MnM,***
rt,6.696961023834027e-18,Baseline + Monitor,***
rt,4.515935008111758e-13,Maintain + MnM,***
rt,6.575352198659826e-10,Maintain + Monitor,***
rt,1.5669341518304692e-10,MnM + Monitor,***
pmCost,2.457764216474882e-13,Maintain + MnM,***
pmCost,2.3242031211951047e-10,Maintain + Monitor,***
pmCost,9.061775404587596e-11,MnM + Monitor,***
